                           |                      2 degrees                                     6 degrees                                  10.5 degrees                                  15.5 degrees                                    20 degrees                                  24.5 degrees                                    30 degrees                                  35.5 degrees                                    41 degrees                                    48 degrees                                    55 degrees                                    60 degrees                                    65 degrees                                  71.5 degrees                                  77.5 degrees                                  83.5 degrees                                    91 degrees                                    99 degrees                                 106.5 degrees                                   114 degrees                                 121.5 degrees                                 128.5 degrees                                   136 degrees                                   145 degrees                                 155.5 degrees                                 165.5 degrees                                   175 degrees                | Angle-integrated DXS
        18.75          0.5 |                12.4465                1.96796                12.4667                1.13805                13.7311               0.809112                13.7527               0.668678                13.1131               0.645252                13.9538               0.540699                13.7008               0.445452                12.5681               0.433642                13.0798               0.379963                12.7647               0.305485                12.9332               0.338129                12.5394               0.396529                12.5364               0.316491                12.7325               0.288704                 12.041                0.32735                12.1276               0.275273                11.4871               0.249838                11.5185               0.251715                10.6507               0.262601                10.6573               0.251756                 10.914               0.281893                9.89172               0.280117                10.1362               0.281561                9.15051               0.263385                9.35393               0.298648                9.39531               0.425742                9.72899               0.696707 |                145.232               0.831667
        19.25          0.5 |                  13.38                2.04043                 14.129                1.21155                13.8264               0.811917                13.1024               0.652678                14.5736               0.680238                14.2262               0.545951                12.9767                0.43352                12.0893               0.425302                13.2343               0.382201                12.8817               0.306881                12.8094               0.336507                12.1381               0.390133                12.2487               0.312839                11.9469               0.279656                11.9342               0.325896                11.4403               0.267359                10.8079               0.242339                10.4679               0.239961                 10.327               0.258579                9.89609               0.242598                9.65445               0.265128                9.74101               0.277974                9.04122               0.265918                9.44617               0.267607                9.00114               0.292962                8.70079               0.409704                8.83093               0.663773 |                139.546               0.815223
        19.75          0.5 |                9.64603                1.73248                14.4406                1.22484                 13.159               0.792076                13.1024               0.652678                12.9226               0.640548                12.7177               0.516194                 13.107               0.435692                 12.224               0.427664                12.4837               0.371205                11.9386               0.295434                12.0668               0.326608                12.1381               0.390133                11.4657               0.302674                11.3185               0.272202                11.0086               0.313003                10.8905               0.260855                10.5036               0.238904                9.49427               0.228529                9.89319                0.25309                9.18243               0.233687                8.70066               0.251691                9.07468               0.268299                8.78313               0.262095                8.20286               0.249374                8.36228               0.282374                8.33424               0.400981                8.03265               0.633062 |                131.307                0.79079
         22.5            5 |                9.45933                0.54253                10.2643                0.32655                10.1076               0.219523                9.96175               0.179966                   10.3                0.18084                9.76767               0.143056                9.74553               0.118804                9.89142               0.121654                9.71767               0.103567                 9.5019              0.0833468                9.20173              0.0901914                8.92928               0.105815                8.97522              0.0846832                8.79752              0.0758886                8.39042               0.086412                8.34626               0.072214                7.92688              0.0656303                7.63777              0.0648177                7.28587              0.0686826                7.05572              0.0647778                6.81709              0.0704517                6.73065              0.0730687                6.58539              0.0717671                6.36517              0.0694663                6.12726              0.0764356                5.86869               0.106405                5.91722               0.171821 |                100.688               0.218981
         27.5            5 |                7.18785               0.472926                7.49043               0.278958                7.20882               0.185391                7.12993               0.152253                7.16615               0.150841                7.05862                0.12161                6.71137                0.09859                6.64914              0.0997421                6.60391              0.0853771                6.52054              0.0690439                6.30746              0.0746719                6.15683               0.087865                5.92062              0.0687794                5.91913               0.062248                5.66629               0.071012                5.45962              0.0584059                5.21051                0.05321                 4.8742                0.05178                4.68243              0.0550607                4.52818               0.051894                4.34669              0.0562563                4.20101              0.0577271                3.94732               0.055563                3.78302              0.0535535                3.67673              0.0592098                3.57292              0.0830238                3.28291               0.127981 |                66.1178                0.17745
         32.5            5 |                5.25864               0.404511                5.63081               0.241864                5.50674               0.162033                5.68964               0.136008                5.52781               0.132481                5.26096               0.104989                 5.5397              0.0895717                5.30555              0.0890966                5.18666              0.0756632                5.05033              0.0607636                4.78341              0.0650278                4.80759              0.0776428                4.54074              0.0602335                4.41414              0.0537551                 4.2317              0.0613676                3.97444              0.0498326                3.80043              0.0454433                3.52927              0.0440608                 3.2114              0.0455988                3.03425              0.0424796                2.83154              0.0454049                2.71765              0.0464301                2.53717              0.0445461                2.48512              0.0434053                 2.4305              0.0481405                2.28613              0.0664112                 2.3599               0.108508 |                48.1722               0.151466
         37.5            5 |                4.57408               0.377264                4.86203               0.224747                4.62471                0.14849                4.75979               0.124399                4.67689               0.121858                4.79165               0.100196                4.62728              0.0818635                4.51854              0.0822233                4.30143              0.0689044                4.14525              0.0550502                4.03112              0.0596957                3.90726              0.0699961                3.78568               0.054998                3.59652              0.0485219                3.46189              0.0555059                3.14719              0.0443442                2.96253              0.0401222                2.73717              0.0388026                2.42085              0.0395905                2.29145              0.0369156                2.09689              0.0390733                 1.9601              0.0394314                  1.845              0.0379869                1.68833              0.0357765                1.59618              0.0390124                1.50672              0.0539148                1.60154              0.0893893 |                38.1757               0.134838
         42.5            5 |                4.16957               0.360196                4.57114                0.21792                4.55796               0.147415                 4.2461               0.117495                4.43241               0.118631                4.30138              0.0949321                4.15224              0.0775477                3.99338              0.0772976                  3.797              0.0647383                3.67223              0.0518142                3.53165              0.0558752                3.34801              0.0647934                3.20241               0.050584                3.11602              0.0451645                2.94127              0.0511623                 2.7723              0.0416193                2.43001              0.0363377                2.16784              0.0345322                1.99806              0.0359675                1.77523              0.0324925                1.59451              0.0340727                1.46432              0.0340817                1.39372              0.0330159                1.24635              0.0307389                1.18331              0.0335901                1.07265              0.0454904               0.982877              0.0700271 |                32.0988               0.123641
         47.5            5 |                4.54297               0.375979                4.17636               0.208298                4.05258               0.139002                3.94698               0.113281                3.87677               0.110946                4.09186              0.0925912                3.85245              0.0746957                3.79887              0.0753916                 3.5332              0.0624489                3.34617              0.0494604                3.25583               0.053649                 3.1687              0.0630344                 2.9667              0.0486869                  2.773               0.042606                2.66094              0.0486631                2.37929              0.0385566                2.14908              0.0341728                 1.8477              0.0318805                1.64455               0.032631                1.44219              0.0292864                1.32439              0.0310528                 1.1383              0.0300491                 1.0668              0.0288853               0.943101              0.0267392               0.849577              0.0284619               0.821849              0.0398187               0.878104              0.0661896 |                28.2673               0.116027
         52.5            5 |                4.44962               0.372096                 3.9478               0.202518                4.00967               0.138264                3.80393               0.111209                3.77517               0.109483                3.77968              0.0889891                3.71631               0.073364                3.50412              0.0724077                3.40626              0.0613169                 3.2058              0.0484119                3.00477               0.051539                2.82888              0.0595587                2.80371              0.0473305                2.62243              0.0414332                2.35391              0.0457696                2.15311              0.0366782                1.89967              0.0321286                1.58696              0.0295457                1.39269              0.0300285                1.20668              0.0267887                1.06155              0.0278012               0.951097              0.0274672               0.854849              0.0258571               0.816495              0.0248797               0.704644              0.0259207               0.655935              0.0355731               0.603696              0.0548815 |                25.6008               0.110419
         57.5            5 |                3.36055               0.323369                 3.4803               0.190149                4.11933               0.140142                3.53733               0.107241                3.73707               0.108929                3.59321              0.0867662                3.57003              0.0719057                 3.3934              0.0712546                3.25946               0.059981                2.99598              0.0468008                2.83593                0.05007                2.70098              0.0581967                2.62153               0.045767                2.37957               0.039468                 2.2044              0.0442922                1.95317              0.0349337                1.67091              0.0301321                1.50335              0.0287568                1.23082              0.0282295                 1.0806              0.0253506               0.944331              0.0262213               0.755166              0.0244751               0.737532              0.0240174               0.678517              0.0226803               0.550175              0.0229041               0.524748              0.0318175               0.503912              0.0501411 |                23.5815               0.105975
         62.5            5 |                4.35627               0.368172                4.14519               0.207519                3.74744               0.133667                3.67713                0.10934                3.61641               0.107156                3.41722              0.0846147                3.49037               0.071099                3.17196              0.0688905                3.10714              0.0585627                2.87828              0.0458722                2.65205              0.0484196                2.59189              0.0570093                2.52086              0.0448796                2.26173              0.0384784                2.04243              0.0426339                1.83695              0.0338785                 1.5443               0.028968                1.26462              0.0263749                1.08514              0.0265063               0.922406              0.0234216               0.796529               0.024082               0.689327              0.0233838               0.611612              0.0218712                0.50794              0.0196234               0.447196              0.0206496               0.407066              0.0280236               0.359224               0.042335 |                21.8861               0.102094
         67.5            5 |                3.79618                0.34369                3.62574               0.194081                3.79512               0.134514                3.47881                0.10635                3.53704               0.105973                3.36065              0.0839114                3.26444              0.0687594                3.02982              0.0673293                2.98903              0.0574389                2.80371              0.0452741                2.65382              0.0484357                2.41132              0.0549876                2.44096              0.0441626                 2.1079              0.0371468                1.96144              0.0417801                1.70762              0.0326641                1.42041              0.0277817                1.19861              0.0256773               0.960831              0.0249419               0.795732               0.021754               0.664017              0.0219878                0.57272              0.0213144               0.511502              0.0200013               0.433645              0.0181316               0.378544              0.0189986               0.380057              0.0270779               0.274407              0.0370011 |                20.5445              0.0989156
         72.5            5 |                4.13846                0.35885                3.80235               0.198752                3.46138               0.128464                3.68038               0.109388                3.47988               0.105114                 3.2077              0.0819797                3.15292              0.0675747                3.01336              0.0671462                2.80029              0.0555958                 2.6531              0.0440414                2.55658                0.04754                2.46273              0.0555707                2.22283              0.0421432                2.06404              0.0367583                1.76743              0.0396601                1.54954              0.0311155                1.28239              0.0263975                1.05669              0.0241093               0.845583              0.0233983               0.677978                0.02008               0.606498              0.0210139               0.490223              0.0197197               0.419212              0.0181072               0.376786              0.0169011               0.341357              0.0180413               0.256587              0.0222489               0.289375              0.0379968 |                19.2205              0.0956753
         77.5            5 |                3.48502               0.329303                3.63613               0.194359                 3.7236               0.133241                3.28699               0.103377                   3.21               0.100955                3.14904              0.0812266                3.09354              0.0669354                2.85775              0.0653895                2.76828              0.0552772                2.55294               0.043202                2.35148              0.0455933                2.24956              0.0531113                2.03427              0.0403161                 1.8886              0.0351614                1.67755              0.0386385                1.44707              0.0300691                 1.2275              0.0258265               0.954377              0.0229124               0.747816              0.0220041               0.644673              0.0195806               0.532961              0.0196988               0.413279              0.0181061               0.343347              0.0163871               0.297941              0.0150291               0.303216              0.0170035               0.219931              0.0205985               0.234494              0.0342044 |                17.9532              0.0924673
         82.5            5 |                3.51613                0.33077                3.90624               0.201449                 3.2516                0.12451                3.35851               0.104495                3.09253              0.0990909                3.08199              0.0803572                2.95161              0.0653818                2.70365               0.063602                2.61044              0.0536782                2.39284              0.0418254                2.20827              0.0441831                2.12918              0.0516707                1.97834               0.039758                1.79368              0.0342664                 1.6019              0.0377572                1.32461              0.0287686                1.08785               0.024313               0.904321              0.0223034               0.666884              0.0207793               0.560224              0.0182531               0.467433              0.0184481               0.375203              0.0172519               0.315974              0.0157203               0.247905              0.0137092               0.227889              0.0147409               0.212214              0.0202339               0.214537              0.0327165 |                16.8212              0.0895046
         87.5            5 |                3.70283               0.339438                3.21018               0.182621                 3.1038               0.121647                 3.3195               0.103887                2.97822              0.0972424                 2.9479              0.0785897                2.70106              0.0625453                2.65128               0.062983                2.54421              0.0529929                2.31827              0.0411685                2.14904              0.0435866                1.96868               0.049685                1.86088              0.0385597                1.72167              0.0335715                 1.4782              0.0362701                1.23588              0.0277884                1.02319              0.0235794               0.776154              0.0206626               0.613792               0.019935               0.511457              0.0174405               0.403361              0.0171372               0.352993              0.0167334               0.278432              0.0147569                0.22971              0.0131965               0.170678              0.0127571               0.162055              0.0176816               0.154666              0.0277788 |                15.8167              0.0867913
         92.5            5 |                2.83158                0.29683                3.36602               0.187001                3.20392               0.123594                3.04314              0.0994683                 2.9433              0.0966705                2.75933              0.0760346                2.60402              0.0614115                2.57348               0.062052                2.34995              0.0509296                2.19764              0.0400831                2.03501              0.0424144                1.92354               0.049112                1.82732              0.0382105                1.58812              0.0322432                1.38565              0.0351163                1.12654              0.0265307                0.89767              0.0220857               0.685942              0.0194247                0.57106              0.0192286               0.438901              0.0161562               0.330552              0.0155136                0.28636              0.0150716               0.241673              0.0137483               0.163754               0.011142               0.164957              0.0125415               0.177488              0.0185044               0.144688              0.0268678 |                14.7552              0.0838281
         97.5            5 |                3.14274               0.312714                3.34524               0.186423                2.94646               0.118524                3.06265              0.0997866                2.70834              0.0927318                2.73838              0.0757454                2.68947               0.062411                2.54654              0.0617265                2.25833              0.0499269                2.20714              0.0401697                 1.9802              0.0418393                1.82197              0.0477978                1.65873              0.0364052                1.47422              0.0310654                1.27529              0.0336889                1.02157              0.0252644               0.812902              0.0210171               0.642486              0.0187993               0.496602              0.0179312               0.391919               0.015267               0.286139              0.0144338               0.258597              0.0143223               0.204914              0.0126596                0.16148              0.0110644               0.139212              0.0115213               0.129258              0.0157914               0.114752              0.0239275 |                13.9903              0.0816265
        102.5            5 |                3.20497               0.315795                3.04396                0.17783                2.92262               0.118044                2.84482              0.0961725                2.61944              0.0911971                2.55191               0.073121                2.43892              0.0594328                2.22187              0.0576574                2.21528              0.0494488                2.04411              0.0386577                 1.8697              0.0406552                1.76429              0.0470351                1.57404              0.0354636                1.36686              0.0299129                1.16672               0.032223               0.934721              0.0241666               0.742262              0.0200832               0.551174              0.0174122                0.40013              0.0160956               0.324121              0.0138838               0.249006              0.0134647               0.203863              0.0127166               0.163462              0.0113069               0.144043                0.01045               0.106793               0.010091               0.102249              0.0140449              0.0997845              0.0223125 |                12.8588              0.0782559
        107.5            5 |                2.52041               0.280046                2.76346               0.169439                2.86541               0.116883                2.57822              0.0915553                2.74327              0.0933278                2.55191               0.073121                2.42443               0.059256                2.27124              0.0582945                2.13471              0.0485412                1.96515              0.0379037                1.80339              0.0399278                1.59626              0.0447393                1.51252              0.0347636                1.27718              0.0289149                1.10175               0.031313               0.865367              0.0232528               0.698248              0.0194786               0.506068              0.0166846               0.358045              0.0152256               0.287843              0.0130838               0.220611              0.0126738               0.189585              0.0122632               0.131395              0.0101373               0.112202             0.00922292               0.111561              0.0103138               0.104178              0.0141768              0.0349246              0.0132002 |                12.2372              0.0763413
        112.5            5 |                2.83158                0.29683                 2.9089                0.17384                2.74145               0.114326                2.62049              0.0923027                2.50514              0.0891852                2.42411              0.0712665                2.18547                0.05626                2.19942              0.0573654                2.01992               0.047218                1.84526              0.0367292                1.72914              0.0390971                1.49469              0.0432926                1.38467               0.033262                1.20255              0.0280574                  1.027               0.030232               0.817881              0.0226058               0.622175              0.0183869                0.44666              0.0156747                0.31596              0.0143029               0.241455              0.0119832               0.178382              0.0113964               0.161821              0.0113298               0.149384               0.010809              0.0962812             0.00854358              0.0810484             0.00879093              0.0829565              0.0126508              0.0748384              0.0193232 |                11.4171              0.0737388
        117.5            5 |                2.73823               0.291896                 2.8154               0.171024                2.70331               0.113528                2.57822              0.0915553                2.45433              0.0882763                2.34449              0.0700864                2.16664              0.0560171                 2.0109              0.0548518                 1.8996              0.0457902                1.75314              0.0358007                1.60361              0.0376512                1.49218              0.0432562                1.33673              0.0326811                1.16982               0.027673               0.933554              0.0288238               0.731032              0.0213719               0.518388              0.0167834               0.415305              0.0151145                0.28294              0.0135349               0.260486              0.0124465                0.16746               0.011042               0.127712              0.0100651               0.109496             0.00925408              0.0773282             0.00765663              0.0753273             0.00847498              0.0790981               0.012353              0.0299354              0.0122211 |                10.7613              0.0715897
        122.5            5 |                3.04939               0.308035                2.74268                 0.1688                2.43155               0.107671                2.29211              0.0863259                2.27971              0.0850778                2.21878              0.0681815                2.13622              0.0556226                1.86577              0.0528354                1.77267              0.0442339                1.66906              0.0349317                1.54438              0.0369494                1.45206              0.0426707                1.25524              0.0316692                1.06311              0.0263807                0.84367              0.0274011                0.68792              0.0207321               0.497196              0.0164368               0.346546              0.0138067               0.270638              0.0132373               0.214693              0.0112996               0.155083              0.0106261               0.105501             0.00914811              0.0938535             0.00856762              0.0773282             0.00765663              0.0657922             0.00792045               0.052089              0.0100245              0.0498923              0.0157773 |                10.0546               0.069199
        127.5            5 |                2.45818               0.276567                2.54529               0.162613                2.50783               0.109347                2.33763              0.0871789                2.26701              0.0848405                2.07422              0.0659229                2.04498              0.0544217                1.87774              0.0530046                1.73624               0.043777                1.64348              0.0346629                1.42503               0.035493                1.28528              0.0401455                1.23047              0.0313552               0.970156               0.025201               0.816971              0.0269641               0.619815              0.0196792               0.443945              0.0155317               0.340495              0.0136857               0.256394              0.0128843                0.17901               0.010318               0.122319              0.0094371              0.0809106             0.00801135              0.0844682             0.00812795              0.0689889               0.007232               0.050536             0.00694166              0.0327968             0.00795439              0.0798276              0.0199569 |                9.53357              0.0673822
        132.5            5 |                2.52041               0.280046                2.46218               0.159936                2.25037               0.103582                2.27586              0.0860193                2.06698              0.0810111                2.04069               0.065388                 1.9885              0.0536649                1.89719              0.0532784                1.71527              0.0435119                1.53381              0.0334865                 1.3994              0.0351723                1.25017              0.0395934                1.13299              0.0300876               0.929569              0.0246682               0.701278               0.024982               0.594823              0.0192783               0.441771              0.0154936               0.286588              0.0125557               0.209777              0.0116543               0.158195             0.00969954               0.118678             0.00929561              0.0737715             0.00764974              0.0719544             0.00750176              0.0515521             0.00625162              0.0419544             0.00632487              0.0385844             0.00862774              0.0399138              0.0141117 |                9.03827              0.0656085
        137.5            5 |                2.73823               0.291896                2.52451               0.161948                2.43631               0.107776                2.28236              0.0861421                2.09238              0.0815074                2.05745               0.065656                1.86684              0.0519974                1.74158              0.0510467                1.62145              0.0423051                1.43877              0.0324324                1.27917              0.0336275                1.12854              0.0376181                1.07466              0.0293029               0.845777              0.0235301               0.708398              0.0251085               0.525468              0.0181196               0.400474              0.0147516               0.250283              0.0117335               0.194238              0.0112143               0.139759             0.00911684               0.101204             0.00858403              0.0729782             0.00760851              0.0547479             0.00654362              0.0545846             0.00643286              0.0352799             0.00579998               0.052089              0.0100245              0.0249461              0.0111562 |                8.50821              0.0636556
        142.5            5 |                2.67599                0.28856                2.08818               0.147289                2.24084               0.103362                2.23684              0.0852788                2.11778              0.0820006                1.92546               0.063515                1.76401               0.050545                 1.6159              0.0491704                1.61041              0.0421609                1.37371              0.0316906                1.27829              0.0336159                 1.0834               0.036858                1.01074              0.0284181               0.781623              0.0226201                0.66835              0.0243884               0.477983              0.0172815               0.334181              0.0134755               0.228831              0.0112193               0.171577              0.0105399               0.136785             0.00901933               0.107757             0.00885758              0.0594931             0.00686967               0.048491             0.00615836              0.0515521             0.00625162              0.0228842             0.00467123              0.0289383             0.00747184              0.0299354              0.0122211 |                 8.0372              0.0618685
        147.5            5 |                1.89809               0.243025                2.48296               0.160609                2.26944                0.10402                2.00275              0.0806932                2.07333              0.0811355                 1.9087               0.063238                1.68581              0.0494119                1.59346              0.0488277                1.43602              0.0398126                1.36274              0.0315639                1.18812              0.0324086                1.06083              0.0364721               0.967595              0.0278049               0.777696              0.0225632               0.564226              0.0224083               0.432371              0.0164363               0.330377              0.0133986               0.213979              0.0108491               0.141794             0.00958153               0.103481             0.00784486              0.0698965             0.00713378              0.0594931             0.00686967              0.0422341             0.00574733              0.0310829             0.00485433              0.0238378             0.00476755              0.0231507             0.00668302              0.0349246              0.0132002 |                7.60333              0.0601755
        152.5            5 |                2.20925                0.26219                2.31673                0.15514                2.08827              0.0997814                1.95398              0.0797047                1.80344              0.0756708                1.77461              0.0609762                1.55112              0.0473969                1.45132              0.0465991                1.42498              0.0396593                1.25308              0.0302672                1.14215              0.0317754                  1.037              0.0360602               0.896483              0.0267637               0.698486              0.0213833               0.537528              0.0218717               0.386135              0.0155326               0.272235              0.0121626               0.182074              0.0100077               0.115895             0.00866242              0.0826657             0.00701161              0.0560628             0.00638895              0.0412486             0.00572015              0.0391056             0.00553037              0.0265342              0.0044851              0.0209772             0.00447236               0.017363             0.00578767              0.0199569             0.00997845 |                7.01183              0.0577874
        157.5            5 |                2.17814               0.260337                2.03623               0.145445                2.30282               0.104782                1.91822              0.0789719                1.71772              0.0738504                1.67823              0.0592973                1.63801              0.0487064                1.51266              0.0475737                1.36979              0.0388837                1.21287              0.0297776                 1.0838              0.0309532               0.960515              0.0347048               0.845347              0.0259892               0.633023              0.0203567               0.480571              0.0206805               0.348021              0.0147461               0.239089              0.0113981               0.158971             0.00935125               0.106183             0.00829153              0.0856393             0.00713661              0.0604313              0.0066332              0.0396621             0.00560907              0.0226813             0.00421181              0.0227436             0.00415239              0.0171632              0.0040454               0.017363             0.00578767             0.00498923             0.00498923 |                6.71227              0.0565395
        162.5            5 |                2.08479               0.254697                2.22323               0.151977                2.03582              0.0985205                1.79468              0.0763864                1.67962              0.0730268                1.61747               0.058214                1.46856              0.0461184                 1.4214              0.0461162                1.30467              0.0379482                1.13245              0.0287735                1.02634              0.0301215               0.952991              0.0345686               0.783024              0.0250128                0.60422              0.0198881               0.444973              0.0198998               0.335525               0.014479               0.241806              0.0114627                0.15182             0.00913851               0.107478             0.00834194              0.0600664             0.00597683              0.0436853             0.00563975              0.0317297              0.0050169               0.021117             0.00406398              0.0174368             0.00363581              0.0190702             0.00426423              0.0154338             0.00545666             0.00498923             0.00498923 |                6.32651              0.0548908
        167.5            5 |                2.33372               0.269474                1.87001               0.139382                 2.0549              0.0989808                1.90522              0.0787038                1.70502              0.0735769                1.63633              0.0585523                1.49608              0.0465484                1.30469              0.0441824                1.19539              0.0363242                1.12441              0.0286712                1.04049              0.0303283                0.86647              0.0329621               0.806196              0.0253802               0.557087              0.0190967               0.402256              0.0189205               0.308658              0.0138872               0.219527              0.0109219               0.127067             0.00836039              0.0841698             0.00738218              0.0564981             0.00579659              0.0400449             0.00539965              0.0222108             0.00419744              0.0179886             0.00375088              0.0197111             0.00386567              0.0095351             0.00301526              0.0135046             0.00510424              0.0249461              0.0111562 |                 6.0979                0.05389
        172.5            5 |                 2.4893               0.278312                2.08818               0.147289                1.88802              0.0948768                1.84344              0.0774173                1.65739               0.072542                1.54833              0.0569562                1.37443              0.0446157                1.24784               0.043209                1.18987              0.0362403                1.07323              0.0280111               0.965346              0.0292127               0.852676              0.0326986               0.727893              0.0241162               0.547267              0.0189276               0.355089              0.0177767               0.281166              0.0132543               0.190184              0.0101658               0.111665             0.00783734              0.0783426             0.00712206              0.0440091             0.00511595              0.0342202             0.00499152              0.0214175              0.0041218              0.0172065             0.00366843               0.012888             0.00312581              0.0133491             0.00356771             0.00578767             0.00334151                      0                      0 |                 5.7531              0.0523442
          180           10 |                2.31816               0.189911                2.07779               0.103889                1.83081              0.0660637                1.66137              0.0519687                 1.5669               0.049875                  1.497              0.0396009                1.39325              0.0317634                1.23213              0.0303605                1.13468              0.0250244               0.992446              0.0190468               0.857938              0.0194735                0.81255              0.0225708               0.647194              0.0160797               0.489988              0.0126641               0.340405              0.0123074               0.254299             0.00891318               0.158396             0.00656011               0.109465             0.00548697              0.0705731             0.00477982              0.0428196              0.0035683              0.0276674             0.00317366              0.0186412              0.0027191              0.0132959             0.00228023             0.00909744             0.00185701             0.00572106             0.00165153            0.000964611            0.000964611             0.00997845             0.00498923 |                5.37472              0.0357751
